"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I have be able to get detail user","SUCCESS","2023-04-14T20:42:01.36305+07:00[Asia/Jakarta]","0.0","4.08"
"User","GET - As admin I have be able to get list user","SUCCESS","2023-04-14T20:42:05.456015+07:00[Asia/Jakarta]","0.0","0.25"
"User","POST - As admin I have be able to create new user","SUCCESS","2023-04-14T20:42:05.708639+07:00[Asia/Jakarta]","0.0","0.71"
"User","PUT - As admin i have be able to update existing user","SUCCESS","2023-04-14T20:42:06.419726+07:00[Asia/Jakarta]","0.0","0.71"
"User","DELETE - As admin i have be able to delete existing user","SUCCESS","2023-04-14T20:42:07.131784+07:00[Asia/Jakarta]","0.0","0.64"
"User","GET Negative Case - As admin user have be able to get list user, but can't be access","SUCCESS","2023-04-14T20:42:07.788423+07:00[Asia/Jakarta]","0.0","0.7"
"User","Get Negative Case - As admin user have be able to get detail user, but can't be access","SUCCESS","2023-04-14T20:42:08.492422+07:00[Asia/Jakarta]","0.0","0.67"
"User","Post Negative Case - As admin user have be able to submit post user with url invalid, shouldn't be access","SUCCESS","2023-04-14T20:42:09.162431+07:00[Asia/Jakarta]","0.0","0.67"
"User","Put Negative Case - As admin user have be able to update put user with id not found, shouldn't be access","SUCCESS","2023-04-14T20:42:09.84285+07:00[Asia/Jakarta]","0.0","1.61"
"User","Delete Negative Case - As admin user have be able to delete user with with url invalid, shouldn't be access","SUCCESS","2023-04-14T20:42:11.455105+07:00[Asia/Jakarta]","0.0","0.68"
